Rank,Filename,Sector,Overall_Score,Match_Percentage,Text_Similarity,Skill_Score,Experience_Score,Education_Score,Experience_Years,Education_Level,Skills_Count,All_Skills,Recommendations,File_Path
109,27243670.pdf,CONSTRUCTION,0.491,49.1,0.0439,0.5,0.7,1.0,30,4,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\CONSTRUCTION\27243670.pdf
110,15425154.pdf,DESIGNER,0.4907,49.07,0.1552,0.4375,0.7,1.0,41,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DESIGNER:adobe creative suite | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: seo, sem, analytics, digital marketing, seo",..\data\data\data\DESIGNER\15425154.pdf
111,28733974.pdf,AGRICULTURE,0.4903,49.03,0.0411,0.5,0.7,1.0,28,4,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\AGRICULTURE\28733974.pdf
112,25780596.pdf,BANKING,0.4901,49.01,0.0402,0.5,0.7,1.0,41,3,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\BANKING\25780596.pdf
113,18975686.pdf,FINANCE,0.4899,48.99,0.0397,0.5,0.7,1.0,20,3,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\FINANCE\18975686.pdf
114,24833063.pdf,FINANCE,0.4893,48.93,0.0447,0.4375,0.875,1.0,9,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\FINANCE\24833063.pdf
115,27981289.pdf,DIGITAL-MEDIA,0.4893,48.93,0.1846,0.4375,0.975,0.6667,5,2,7,ACCOUNTANT:excel | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:google analytics | PHARMACEUTICAL:marketing,"Consider developing skills in: sales, adobe creative suite, sem, sem, ppc | Consider pursuing higher education qualifications",..\data\data\data\DIGITAL-MEDIA\27981289.pdf
116,22718826.pdf,CONSTRUCTION,0.4886,48.86,0.0344,0.5,0.7,1.0,35,4,8,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, analytics, google analytics, digital marketing",..\data\data\data\CONSTRUCTION\22718826.pdf
117,14408510.pdf,FINANCE,0.4882,48.82,0.0701,0.4375,0.825,1.0,11,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\FINANCE\14408510.pdf
118,33803142.pdf,HEALTHCARE,0.4877,48.77,0.0308,0.5,0.7,1.0,45,3,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\HEALTHCARE\33803142.pdf
119,34583750.pdf,DIGITAL-MEDIA,0.4877,48.77,0.1806,0.375,0.825,1.0,11,3,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\DIGITAL-MEDIA\34583750.pdf
120,22765255.pdf,BUSINESS-DEVELOPMENT,0.4876,48.76,0.083,0.4375,0.8,1.0,12,4,7,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, sem, seo, digital marketing",..\data\data\data\BUSINESS-DEVELOPMENT\22765255.pdf
121,34046031.pdf,BUSINESS-DEVELOPMENT,0.4864,48.64,0.0479,0.4375,0.85,1.0,10,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\BUSINESS-DEVELOPMENT\34046031.pdf
122,19557384.pdf,BUSINESS-DEVELOPMENT,0.4857,48.57,0.0755,0.4375,0.8,1.0,12,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\BUSINESS-DEVELOPMENT\19557384.pdf
123,14585273.pdf,CONSTRUCTION,0.4845,48.45,0.0407,0.4375,0.85,1.0,10,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\CONSTRUCTION\14585273.pdf
124,13405733.pdf,INFORMATION-TECHNOLOGY,0.4843,48.43,0.0849,0.4375,0.775,1.0,13,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\INFORMATION-TECHNOLOGY\13405733.pdf
125,11635137.pdf,PUBLIC-RELATIONS,0.4841,48.41,0.1288,0.4375,0.7,1.0,40,3,7,BUSINESS-DEVELOPMENT:sales | MARKETING:digital marketing | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics",..\data\data\data\PUBLIC-RELATIONS\11635137.pdf
126,32069695.pdf,AUTOMOBILE,0.4831,48.31,0.035,0.4375,0.85,1.0,10,3,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\AUTOMOBILE\32069695.pdf
127,20835760.pdf,HEALTHCARE,0.4829,48.29,0.0716,0.375,0.975,1.0,5,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\HEALTHCARE\20835760.pdf
128,12251115.pdf,CONSULTANT,0.4824,48.24,0.0696,0.375,0.975,1.0,5,3,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\CONSULTANT\12251115.pdf
129,13264796.pdf,ENGINEERING,0.4814,48.14,0.0654,0.375,0.975,1.0,5,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\ENGINEERING\13264796.pdf
130,22391901.pdf,ADVOCATE,0.4801,48.01,0.0605,0.375,0.975,1.0,5,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\ADVOCATE\22391901.pdf
131,27040860.pdf,ENGINEERING,0.4801,48.01,0.0227,0.4375,0.85,1.0,10,3,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | MARKETING:seo | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, sem, google analytics, sem",..\data\data\data\ENGINEERING\27040860.pdf
132,20253563.pdf,ACCOUNTANT,0.4797,47.97,0.0964,0.4375,0.725,1.0,15,3,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\ACCOUNTANT\20253563.pdf
133,12920612.pdf,PUBLIC-RELATIONS,0.4792,47.92,0.1093,0.4375,0.7,1.0,30,3,7,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics",..\data\data\data\PUBLIC-RELATIONS\12920612.pdf
134,62994611.pdf,AGRICULTURE,0.4787,47.87,0.0547,0.375,0.975,1.0,5,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\AGRICULTURE\62994611.pdf
135,39650734.pdf,HR,0.4781,47.81,0.0525,0.375,0.975,1.0,5,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\HR\39650734.pdf
136,35474904.pdf,ADVOCATE,0.4779,47.79,0.0518,0.375,0.975,1.0,5,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\ADVOCATE\35474904.pdf
137,15636923.pdf,HEALTHCARE,0.4774,47.74,0.0347,0.375,1.0,1.0,4,4,6,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics",..\data\data\data\HEALTHCARE\15636923.pdf
138,19179079.pdf,HR,0.4773,47.73,0.0642,0.375,0.95,1.0,6,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\HR\19179079.pdf
139,83816738.pdf,INFORMATION-TECHNOLOGY,0.4768,47.68,0.0698,0.4375,0.75,1.0,3,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc | Gain 1 more years of relevant experience",..\data\data\data\INFORMATION-TECHNOLOGY\83816738.pdf
140,26160200.pdf,DIGITAL-MEDIA,0.4764,47.64,0.1805,0.625,0.0,1.0,0,3,10,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, google analytics, digital marketing | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\26160200.pdf
141,12786012.pdf,HR,0.4763,47.63,0.0379,0.4375,0.8,1.0,12,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\HR\12786012.pdf
142,10641230.pdf,INFORMATION-TECHNOLOGY,0.476,47.6,0.1164,0.4375,1.0,0.6667,4,2,7,DESIGNER:adobe creative suite | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media,"Consider developing skills in: excel, sales, analytics, google analytics, digital marketing | Consider pursuing higher education qualifications",..\data\data\data\INFORMATION-TECHNOLOGY\10641230.pdf
143,30504149.pdf,DIGITAL-MEDIA,0.4759,47.59,0.291,0.5625,0.0,1.0,0,3,9,DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, google analytics, ppc | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\30504149.pdf
144,86595128.pdf,FINANCE,0.4747,47.47,0.0613,0.4375,0.75,1.0,3,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 1 more years of relevant experience",..\data\data\data\FINANCE\86595128.pdf
145,12826414.pdf,CONSTRUCTION,0.4742,47.42,0.0368,0.375,0.975,1.0,5,4,6,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | MARKETING:seo | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, sem, google analytics",..\data\data\data\CONSTRUCTION\12826414.pdf
146,20544228.pdf,ADVOCATE,0.4741,47.41,0.0439,0.4375,0.775,1.0,13,3,7,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics",..\data\data\data\ADVOCATE\20544228.pdf
147,21321598.pdf,PUBLIC-RELATIONS,0.4728,47.28,0.0836,0.4375,0.7,1.0,27,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\PUBLIC-RELATIONS\21321598.pdf
148,29494962.pdf,FINANCE,0.4717,47.17,0.1166,0.375,0.825,1.0,11,4,6,ACCOUNTANT:excel | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, analytics, seo, google analytics",..\data\data\data\FINANCE\29494962.pdf
149,19558834.pdf,PUBLIC-RELATIONS,0.4716,47.16,0.079,0.4375,0.7,1.0,22,3,7,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics",..\data\data\data\PUBLIC-RELATIONS\19558834.pdf
150,23477199.pdf,FITNESS,0.4715,47.15,0.026,0.375,0.975,1.0,5,3,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\FITNESS\23477199.pdf
151,17781039.pdf,SALES,0.4714,47.14,0.1057,0.5,0.8,0.6667,12,2,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc | Consider pursuing higher education qualifications",..\data\data\data\SALES\17781039.pdf
152,39252859.pdf,DESIGNER,0.4712,47.12,0.0773,0.4375,0.7,1.0,19,3,7,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics",..\data\data\data\DESIGNER\39252859.pdf
153,28531493.pdf,PUBLIC-RELATIONS,0.4707,47.07,0.1578,0.625,0.0,1.0,0,3,10,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, google analytics, digital marketing | Gain 4 more years of relevant experience",..\data\data\data\PUBLIC-RELATIONS\28531493.pdf
154,59011090.pdf,DIGITAL-MEDIA,0.4704,47.04,0.2691,0.5625,0.0,1.0,0,4,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, seo, ppc, sem | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\59011090.pdf
155,33893326.pdf,DIGITAL-MEDIA,0.4702,47.02,0.2682,0.5625,0.0,1.0,0,4,9,DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, google analytics, ppc | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\33893326.pdf
156,95085510.pdf,FITNESS,0.4696,46.96,0.026,0.4375,0.775,1.0,13,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\FITNESS\95085510.pdf
157,13574264.pdf,BUSINESS-DEVELOPMENT,0.4693,46.93,0.1521,0.625,0.0,1.0,0,3,10,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, google analytics, ppc, social media | Gain 4 more years of relevant experience",..\data\data\data\BUSINESS-DEVELOPMENT\13574264.pdf
158,10464113.pdf,SALES,0.4686,46.86,0.0369,0.4375,0.75,1.0,3,4,7,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics | Gain 1 more years of relevant experience",..\data\data\data\SALES\10464113.pdf
159,32433431.pdf,CONSULTANT,0.4679,46.79,0.0868,0.375,0.85,1.0,10,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\CONSULTANT\32433431.pdf
160,15535920.pdf,CONSULTANT,0.4679,46.79,0.0865,0.375,0.85,1.0,10,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, seo, digital marketing, seo",..\data\data\data\CONSULTANT\15535920.pdf
161,18132924.pdf,ACCOUNTANT,0.4679,46.79,0.0265,0.375,0.95,1.0,6,3,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\ACCOUNTANT\18132924.pdf
162,20324037.pdf,ADVOCATE,0.4673,46.73,0.054,0.375,0.9,1.0,8,3,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, seo, digital marketing, seo",..\data\data\data\ADVOCATE\20324037.pdf
163,20400279.pdf,ADVOCATE,0.4667,46.67,0.0444,0.4375,0.725,1.0,15,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\ADVOCATE\20400279.pdf
164,12587973.pdf,TEACHER,0.4663,46.63,0.0502,0.375,0.9,1.0,8,3,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\TEACHER\12587973.pdf
165,24548333.pdf,HEALTHCARE,0.4656,46.56,0.0999,0.3125,1.0,1.0,4,4,5,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\HEALTHCARE\24548333.pdf
166,25676643.pdf,HR,0.4651,46.51,0.0902,0.375,0.825,1.0,11,4,6,ACCOUNTANT:excel | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, analytics, seo, google analytics",..\data\data\data\HR\25676643.pdf
167,38896303.pdf,CONSULTANT,0.4647,46.47,0.0512,0.4375,0.7,1.0,20,4,7,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics",..\data\data\data\CONSULTANT\38896303.pdf
168,31114531.pdf,ARTS,0.4646,46.46,0.051,0.4375,0.7,1.0,25,3,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\ARTS\31114531.pdf
169,30608780.pdf,SALES,0.4646,46.46,0.0507,0.4375,0.7,1.0,29,4,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\SALES\30608780.pdf
170,14267489.pdf,SALES,0.4645,46.45,0.0581,0.375,0.875,1.0,9,4,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\SALES\14267489.pdf
171,22706174.pdf,DIGITAL-MEDIA,0.4641,46.41,0.3564,0.5,0.0,1.0,0,3,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DESIGNER:adobe creative suite | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: sem, seo, ppc, google analytics, sem | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\22706174.pdf
172,17131084.pdf,BANKING,0.4637,46.37,0.0398,0.375,0.9,1.0,8,3,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, sem, seo, digital marketing, seo",..\data\data\data\BANKING\17131084.pdf
173,91697974.pdf,INFORMATION-TECHNOLOGY,0.4627,46.27,0.0434,0.4375,0.7,1.0,16,3,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\INFORMATION-TECHNOLOGY\91697974.pdf
